Id;anno;Abstract
22;1968;"In contrast to the peculiarly fluctuating Western relationship of religious and political powers, continuously in conflict with each other, the Russian religious structures consistently follow the more common pattern of monistic unity and are characterized by total subordination to the political system. The contrasting structural characteristics warrant a conceptual dichotomy in which dependency and independency of the religious structures occupy opposing ends of a typological scale. Challenging the fashionable view, which leads to the neglect of the cultural context of societal actions, this paper emphasizes the crucial impact of the cultural context in which a particular church-state relationship occurs. The early and unstable Western dualism exploded eventually into various, more or less imperfect pluralistic solutions; while in the foreseeable Russian future any dualistic or pluralistic diffusion of power is highly improbable."
23;1968;Observations of group life in America have led students of assimilation to argue that large numbers of people continue to interact mainly along religious lines even though their cultural differences are minor. Gordon has hypothesized that many intellectuals, among whom academics are numerically the most important group, are not oriented toward the religious group in interaction or identification, but instead live in a milieu largely free of such structural cleavages. This hypothesis was put to test on samples of Protestant and Mormon academics and non-academics. Results were in support of the hypothesis. Academics with Protestant backgrounds in the humanities and social sciences were in particular weak in religious communality.
24;1968;"One way of investigating the functions of theological doctrines is to compare them with scientific theories as ways of interpreting experience. Ian Ramsey has treated a number of themes relevant to this comparison, including the use of models in science and theology and the role of paradox in the latter. Ramsey holds that paradoxes are to be dissolved by tracing them back to distinct models, each revealed in and justified by ""disclosure."" It is here argued that this interpretation is inadequate when the experience-interpreting function of theology is considered, but can consistently be supplemented with an interpretation which treats paradoxes as based on models which are complementary in the wave-particle sense."
25;1968;"Our galloping 20th Century Revolutions of Science and Technoculture have deep roots in the Protestant Reformations and the Revolutions in Science and Philosophy of the 16th and 17th Centuries. These decisive recastings of the relations of conscience--moral, religious, scientific--and character need to be seen in wider frames than those adopted by Max Weber in his renowned ""Protestant Ethic and the Spirit of Capitalism"" (1904-05). To do justice to these developments, we have to go beyond Weber in the spirit of his last essays before his death in 1920. New stress has to be given to the role of the revolutions of organized systems of ""rationales"" both of action and thought within the processes Weber described under the heading of ""Rationalizations."" The breakthroughs to the modern world and the propulsive developments now in progress have less to do with the ""spirit of capitalism"" and the ""profit motive"" in their narrow senses than to the runaway effects of the dynamic fusions of the by-products, not always hoped for, of two complex movements: The Protestant Reformation (and its bearings in respect of the newer orientations toward self, society, and the city of this world) and, The Scientific Revolution (and its consequences in the way of a development of an Universal symbolic mathematical science and technology). These fusions occurred at great heats toward the close of the 19th Century in Europe and the United States and are now at ""the exponential growth point."" Both of these movements began as fundamental critiques of the medieval integrated institutiion of ""Conscience-Casuistry-and the Cure of Souls."" In brief: The twofold changes in the fundamental ""Moralities of Thought"" and ""Logics of Action"" embraced in the earlier institution of conscience constitute the necessary foundations of the accelerated passage now in progress towards the universal automation of collective intelligence in the form of ""Brain Machines"" and ""Memory Banks."""
26;1968;"Previous studies have identified several dimensions reflecting the concepts used by religious people in describing God. Semantic Differential research has also found adjectival factors which apply to numerous concepts, including that of God. The present study sought to identify replicable factors in the conceptualization of the deity from both areas of previous research. Adjectives of possible applicability to the concept of ""God"" were included in a hierarchical factor analysis. A general factor of the Traditional Christian concept appeared along with factors previously identified (Deisticness, Eternality, Evaluation, Kindliness, Omni-ness, and Wrathfulness) as well as several new dimensions (e.g., Irrelevancy and Potently Passive). The internal consistency of each scale resulting from the factor analysis was determined in another sample of subjects and indicated that most of the factors could be easily measured."
27;1968;The career of Orestes Brownson, who roamed from church to church during his adult life, provides rich data for the study of religious affiliation. We suggest that the need to affiliate with religious groups can be best understood by noting how related personal and social factors interact to influence affiliation behavior. Thus Brownson relied on his religious affiliations to reverse the disrupting effects of his personal lack of parental guidance in a social climate of confusing religious controversy. His Catholic conversion was the direct result of the tendency of his Protestant affiliations to intensify rather than mitigate these early frustrations.
28;1968;"The distance from a purely quantitative statement of a statistical pattern to a sociological interpretation of that pattern is often quite great. Several steps are sometimes needed to cover that distance. With regard to the interpretation of interfaith marriage statistics, a third refinement is suggested here to add to two previously developed refinements. These should be seen as steps toward greater reliability of measurement; but they still leave us with a definition of intermarriage that fails to take the full range of personality and structural aspects into account. A thorough revision of our conceptions of interfaith marriage is called for."
29;1968;The hypothesis is tested that in special conditions religious beliefs can function as a stablizing force on personal and social systems. The sample was drawn from an urban hospital population, using criteria that produced a largely low-income sample of mothers. The data show that under the conditions of heightened psycho-situational stress and limited resources for adaptation, mothers who located causality of illness in God, in contrast to those who viewed illness as naturalistically determined, were more likely to report a marginal rather than a difficult or a smooth adaptation to family disruptions during illness. Theoretical implications of these findings are discussed.
30;1968;"The primary purpose of this study was to investigate the construct validity of the Religious scale of the Allport-Vernon-Lindzey Study of Values (SV R scale). The SV and a slightly modified form of the Aspects of Religious Belief Questionnaire (ARBQ) (Allport, Gillespie, & Young, 1948) were administered to 378 freshmen students, 60% of whom were male. Items from the SV R scale and from the ARBQ were intercorrelated and the resulting matrix reduced to five factors which accounted for 92% of the SV R score variance. In partial disagreement with the SV manual, results suggest that the R scale indicates an activist who approaches religion intellectually and rationally, generally endorses traditional forms of Christian institutions, and seeks to apply religious principles in daily life. The interpretation of each factor and its relation to Allport's ""extrinsic-intrinsic"" dimension of religion is discussed. Reinterpretations of representative studies and implications of these revisions for studies in areas outlined by the SV manual are presented."
31;1968;The way in which a concept is defined strongly influences its use in research. There are times when drastic redefinition can open up new questions and powerfully affect our approaches to old questions. Definition of interfaith marriage on the basis of the single criterion of church membership or identification, it is argued, has prevented us from studying the causes and consequences of intermarriage effectively. A multi-variable definition is proposed and its possible effects on research are illustrated.
32;1968;This paper offers a typology of organized religion that grows out of the conceptions of the Ultimate espoused by Christian religious bodies and relates to these conceptions the patterns of social organization of these bodies. The attempt is to discover a typology that adequately accommodates the theological and confessional character of religious bodies, on one hand, and their social structures and behavioral patterns, on the other. The paper offers three major types: Familial, Democratic, and Dominical.
33;1968;This paper, working from a twofold typology of religious and ecclesiastical reform, proposes a thesis which holds that religious reform proceeds at its own pace and constitutes the change to which the Church ultimately must adapt if it is to survive as a structure. Changes in norms, values, life goals, and core ritual constitute religious reform. Some of the norms undergoing change concern contraception, obligatory Mass attendance and unquestioning priestly obedience. The once high value placed on the priesthood shows evidence of diminution, while the Mass, the core ritual of Catholicism and traditionally its own raison d'être, shows evidence of becoming a function of community or fellowship. These changes generate conflict with ecclesiastical authority which seeks orderly growth, internal discipline, and the avoidance of conflict. Assuming the beneficial or integrative function of social conflict, a new, humane, and religious synthesis of values and goals may be expected to emerge (provided the religious reformers do not tire of conflict). On the new synthesis, the thesis holds, will rest the new forms of religious life, encompassing both Protestant and Catholic.
34;1968;"Those who study religion scientifically have tended to ignore a category of religious phenomenon which appears to be of significance and an understanding of which provides a more complete understanding of religious behavior. That category is the religious ""nones."" This article (1) calls attention to this neglect; (2) discusses some of the implications of the use of the ""none"" label; (3) explores some evidence of the relationship between nonaffiliation and a) other religious variables such as beliefs, religious experience, and participation in religious meetings and rituals and b) other social behavior; and (4) explores some methodological and theoretical considerations arising from this analysis. On the basis of this evidence, it is suggested that the religious ""none"" or independent is a phenomenon worthy of study."
35;1969;At present there are two social movements engaged in efforts to alter the power structure of the United States, a Black Power movement and a Church Power movement. Both aim either to revolutionize or to diminish the power of a democratic majority in an affluent democratic society. The Church Power movement seeks to revolutionize middle-class America. The Black Power movement has the alternative of Black Nationalism.
36;1969;"Data, describing and analyzing the anomalous role of the Mexican Mayo Indian ritual impersonator are utilized to evaluate four explanations of ritual impersonation: historical, psychological-affective, sociological, and cultural-cognitive. The cultural-cognitive explanation interprets the fact that ?apakobam protect the customs while at the same time they are burlesquing them. They ""know no shame"" yet they ""confess on behalf of the community."" This anomalous role of ?apakoba mediates numerous other oppositions: human-animal, living-dead, male-female, child-adult, health-sickness. The conflicting portrayal of opposing themes creates cognitive dissonance which enhances the final traditional solution when it is presented. Through the role of ritual impersonator, numerous oppositions and conflicts within the structure of culture and society are ritually mediated, ritual learning takes place, and individuals better understand and more deeply identify with their cultures and societies."
37;1969;"Eastern mystical movements operating in America recruit partly from young persons who have previously experimented with psychedelic drugs. This paper argues that these cults serve as a ""half-way house"" between the drug culture and reassimilation into conventional society. Since mystical experiences share elements with drug sensations, the former can operate as a substitute gratification for the latter and facilitate the termination of drug taking. Since mystical ""trips"" are less legally precarious and less physically incapacitating than drug ""trips,"" the changeover from drugs to non-chemical mysticism tends to facilitate further adjustments in the direction of adopting conventional routinized life-styles. This analysis is exemplified by a case study of the Meher Baba cult which recruits from the drug culture. The writings of Meher Baba contain some elements which are congruent with the ""psychedelic"" emphasis on inner exploration and other elements which provide linkages with conventional norms. Baba followers tend to shift their emphasis from the passive-contemplative to the active-service oriented aspects of Baba's teachings as their drug experiences recede into the past. Socialization from the drug culture via Baba into conventional life-styles is thus a gradual process without sharp discontinuities."
38;1969;Glossolalia tape-recorded from four groups--English- and Spanish-speaking--showed characteristics common to all groups. It is a noncommunicative behavior of vocalization. Although the phonetic inventory and the grouping of sounds vary somewhat from group to group, these are stereotyped within the group and rigidly adhered to. An analysis of the phonology, accent pattern, and intonation shows the individual utterance to have a threshold of onset, a brief rising gradient of intensity, a peak, and a final, often precipitous decay. This paper proposes that this agreement, despite cultural diversity and difference in language, exists because glossolalia is an artifact of a dissociative state termed trance. A brief characterization of the role of this little researched state is attempted on the basis of field experiences, and a comparison with similar manifestations in other areas.
39;1969;"If one adopts a definition of religion that emphasizes its function, as in coping with chaos or in expressing ultimate concern (rather than the forms which serve such functions in one system or another), the more crucial measurement question becomes ""How is a person religious?"" rather than ""How religious is he?"" Following the analogy of structural linguistics or of natural history, an exploratory effort was made, with open-ended, non-doctrinal questions to tap the natural expression of ultimate concern among a college sample. Students did indicate overwhelmingly their inclinations to pursue basic, permanent questions. Those most expressing such concerns were most likely to belong to groups formed to address such concerns."
40;1969;In the static culture of the southern regions of the United States, soldier saints became the character model by which the moral problem of violence was met. From 1830 to 1930, the South venerated soldiers of evangelical piety who embodied the ideals of identity and definiteness, fidelity and steadfastness, self-restraint and serenity.
41;1969;Religious patterns of conversion are shown to differ depending upon whether the spouse was a Catholic or a Protestant, a wife or a husband. Patterns of conversion were mediated to some extent by the social status of the husband as suggested by the occupation of the husband. The decision to convert or not to convert involves a confrontation between two religious systems, and it may also represent a clash between religious constraints and non-religious constraints.
42;1969;Roman Catholic convents are compared with villages and cities (vills), with prisons, and with formal organizations. Interview data are provided for a Trappist monastery and a teaching convent. These systems are distinguished sharply both from prisons (especially in the lack of force) and vills (particularly in the absence of biosocial families). On a more general level, the monastic convent is a communal organization, sharing traits with other systems related to vills, whereas the apostolic convent is a formal organization emphasizing specific goals. However, it is suggested that all convents have communal traits in that religious ends may be inherently non-specific and thus non-formal.
43;1969;Russian Marxism has been called a religion, or compatible with religion, by many laymen as well as theologians. This paper attempts to find acceptable definitions of religion and of Russian Marxism, and goes on to show that, in terms of these, Russian Marxism, on the one hand can be called a religion and, on the other, is totally opposed to religion in all acceptable forms. It finds further that Russian Marxism is, in fact, an inversion of Christianity and, more specifically, of Roman Catholicism. It concludes that because of the diametrically opposed views of Christianity and Russian Marxism, a Christian-Russian Marxist dialogue is impossible, if each side is to retain its essential nature.
44;1969;The concept of God, as it has come down to us in the Hebrew-Christian tradition, suffers from insurmountable difficulties. This concept emerged not only in response to a religious need, but also to satisfy some strictly philosophical, cognitive aspirations. Unfortunately, the four basic components of this concept are logically incompatible, and this logical incompatibility lies behind the puzzles and the paradoxes which have plagued Christian theology since its inception.
45;1969;The grouping together of Holiness and Pentecostal religion for purposes of sociological analysis is not justified. Despite the common theological base and forms of anti-worldliness which they share, Pentecostalism and Holiness religion are distinguishable from one another in terms of the types of religious experience they emphasize. Considerable differences are found in the extent to which their doctrines are distinctive, their organizations exclusive, their meetings inspirational, and their following from the lowest social strata. These differences suggest a greater tendency for Pentecostalism than for Holiness movements to generate sects. The differences are attributed primarily to the highly subjective and invisible nature of Holiness religious experience which has few implications for separatism and enables many Holiness movements to remain interdenominational.
46;1969;The need for a refined concept of cult emerged as the result of an attempt to analyse the Spiritualist movement in terms of the church-sect typology. Previous definitions of cult also appear inadequate when applied to the analysis of Spiritualism. This paper argues the need for a refined concept of cult, and proposes a definition of cult in terms of one basic criterion--that cults are religious movements which make a fundamental break with the religious tradition of the culture--and two subordinate criteria--that cults are composed of individuals who have had or seek mystical, psychic, or ecstatic experiences, and that they are concerned with the problems of individuals. It also proposes a typology of cults, and an explanation of the origin and development of cults in terms of a continuum from cult to new religion.
47;1969;"The Ramakrishna movement, beginning in nineteenth century India, and represented today by many schools, hospitals, publishing houses, and missions, is analyzed as an example of a modern religious movement. Among the factors examined are the influence of Ramakrishna's personality in supplying the passional and charismatic underpinnings of the movement, the role of westernizing supporters, the relationship of Ramakrishna to his disciples, and the process by which hero-worship was replaced by a service-orientation. The general thesis is that the Ramakrishna movement owed much of its strength initially to its striking fusion of an archaic, traditionalist rhetoric with a ""modern"" set of meliorative goals."
48;1969;The Rastafari cult in Jamaica is a predominantly male-oriented politico-religious protest cult involving the Messianic worship of the Emperor Haille Salassie, and anticipating its return to Africa. This detailed anthropological study of the Rastafari movement interprets the data on the institution itself, and the associated symbol system, in sociological and psychoanalytic terms, and demonstrates how the cult is based on a self-renewing and self-justifying system of belief and action.
49;1969;The sudden and dramatic religious conversion experience of a male divinity student is presented and explored in terms of its role in adolescent development. Particular emphasis is placed on his perception of family relationships, and especially on how the conversion experience serves to alter a perception of the actual father as weak, ineffective, or absent by supplying instead an internal representation of a strong and principled substitute paternal figure with clear values and firm judgments. This representation of a positive and powerful paternal figure is seen as crucial in aiding the adolescent process of individuation and differentiation by countering strong longings to retain or reestablish a sense of undifferentiated union with the maternal figure.
50;1969;"The theory of functional-structural differentiation has been proposed as an explanation of such characteristics of American religious institutions as separation of church and state, denominationalism, voluntarism and privatism in religion. After considering certain formal problems of this theory the author derives three testable hypotheses from it. If differentiation has taken place, then in comparison with the past, contemporary American religious institutions (1) should be more preoccupied with the core goal-attainment functions of religion; (2) should possess a clearer institutional identity; (3) should have a more narrow conception of the minister's role. Using data from American church history and studies of contemporary American religion the author summarizes evidence contra these hypotheses. While contemporary religious institutions may be labeled as structurally differentiated, i.e., voluntary associations, they have more rather than fewer secondary functions than in the past, less a sense of special identity and a profusion of ministers' activities. A new model of differentiation as a process is necessary."
51;1969;The thesis of this paper is that fourteenth century German mystics administered psychotherapy to fourteenth century German merchants, thereby aiding the efforts of the merchants to rationalize commerce and society. The argument runs that the merchants' emphasis on economic rationalism violated traditional values of the Church and of medieval society in general. Since the Church and the associated social order were perceived as controlling every man's chances for salvation, the merchants felt anxious and guilty about their rationalist tendencies, and were therefore tempted to dilute them. Another solution, however, was to continue the rationalism but to seek therapy for the anxiety and guilt that it evoked. Mysticmonks were among those who provided such therapy. Analyses and speculations are offered regarding the symbolism that goaded the therapy forward.
52;1969;"Theoretical discussions of religion's integrative potential are empirically tested with survey data collected from a sample of 609 respondents. Integration is measured with morale, Srole's anomia, and various alienation scales. Product-moment correlations show that participation in secular organizations is more highly associated with socio-psychological integration than is participation in church services. In order to test Robert Bellah's ""superordinate meaning system"" hypothesis the data are elaborated by intensity of orthodox religious belief (as measured with the McClosky scale). The relationship between secular participation and integration is doubled under the high belief, high church participation condition and reduced almost to zero under the low belief, low participation condition. It is concluded that religious belief acts as a superordinate meaning system capable of endowing secular activity with greater and more integrative meaning."
53;1969;Theories which explain glossolalia as indicative of psychological pathology, suggestibility, or hypnosis, or as a result of social disorganization and deprivation are reviewed and found inadequate to explain recent data on the Pentecostal movement. Concepts of glossolalia as learned behavior and as part of a process of personality reorganization are found more useful. Data are presented to support a functional interpretation of glossolalia as one component in the process of commitment to a movement with important implications for both personal and social change.
54;1969;This paper attempts to develop a testable theory of secularization. The first requirement of this theory is to specify the limitations of structural-functional analysis. One of these limitations is its adherence to questionable norms for the measurement of religion. In moving beyond structural-functional analysis of secularization as a process, the choice is made to define the secular in terms of Parsons's theory of action. This theory suggests the possibility of a secular, as well as a religious normative orientation. These two normative orientations contain such dimensions as scope, intensity, and a posture toward social change. The theoretical development of this paper is related to major analyses of American society and calls into question some of the assumptions underlying the theory of action.
55;1969;This paper examines the sustained attempt by Félicité Lamennais to solve the perennial ethical problem of the rapport between liberty and authority. An early apostle of the Romantic reaction of the early 19th century, Lamennais, in his deep-seated yearning for the harmony and religious unity of the medieval world, sought to reconstruct the principle of authority in religion, and, therefore, in society on a broad philosophical base. Using this same philosophical groundwork, he later emerged as a champion of the modern liberties evolving out of the rise of liberalism and the French Revolution. How did such a remarkable transition from theocratic authoritarianism to Catholic liberalism take place? Such themes as tolerance, religion, society, authority, liberty, and history--inter-related elements of political reality--are pieces of the mosaic which Félicité Lamennais labored to bring into being as a major synthesis of theology and philosophy. The originality and the magnitude of the Mennaisian effort had a powerful impact on the subsequent history of Roman Catholicism. The fundamental question of social coexistence, heading in turn to a basically metaphysical reflection upon the nature and sources of society and social being, was the basic issue for Lamennais. The crucial and very contemporary character of the question of unity and plurality within the modern world makes it quite evident that a constant study of the problem, its historical development, and ultimate implications, is readily justifiable and worthwhile.
